symbol,exchange,name,index,asset_type
ADBE,NASD,Adobe Inc.,NASDAQ100,STOCK
AMD,NASD,Advanced Micro Devices,NASDAQ100,STOCK
ABNB,NASD,Airbnb,NASDAQ100,STOCK
ALNY,NASD,Alnylam Pharmaceuticals,NASDAQ100,STOCK
GOOGL,NASD,Alphabet Inc. (Class A),NASDAQ100,STOCK
GOOG,NASD,Alphabet Inc. (Class C),NASDAQ100,STOCK
AMZN,NASD,Amazon,NASDAQ100,STOCK
AEP,NASD,American Electric Power,NASDAQ100,STOCK
AMGN,NASD,Amgen,NASDAQ100,STOCK
ADI,NASD,Analog Devices,NASDAQ100,STOCK
AAPL,NASD,Apple Inc.,NASDAQ100,STOCK
AMAT,NASD,Applied Materials,NASDAQ100,STOCK
APP,NASD,AppLovin,NASDAQ100,STOCK
ARM,NASD,Arm Holdings,NASDAQ100,STOCK
ASML,NASD,ASML Holding,NASDAQ100,STOCK
ADSK,NASD,Autodesk,NASDAQ100,STOCK
ADP,NASD,Automatic Data Processing,NASDAQ100,STOCK
AXON,NASD,Axon Enterprise,NASDAQ100,STOCK
BKR,NASD,Baker Hughes,NASDAQ100,STOCK
BKNG,NASD,Booking Holdings,NASDAQ100,STOCK
AVGO,NASD,Broadcom,NASDAQ100,STOCK
CDNS,NASD,Cadence Design Systems,NASDAQ100,STOCK
CHTR,NASD,Charter Communications,NASDAQ100,STOCK
CTAS,NASD,Cintas,NASDAQ100,STOCK
CSCO,NASD,Cisco,NASDAQ100,STOCK
CCEP,NASD,Coca-Cola Europacific Partners,NASDAQ100,STOCK
CTSH,NASD,Cognizant,NASDAQ100,STOCK
CMCSA,NASD,Comcast,NASDAQ100,STOCK
CEG,NASD,Constellation Energy,NASDAQ100,STOCK
CPRT,NASD,Copart,NASDAQ100,STOCK
COST,NASD,Costco,NASDAQ100,STOCK
CRWD,NASD,CrowdStrike,NASDAQ100,STOCK
CSX,NASD,CSX Corporation,NASDAQ100,STOCK
DDOG,NASD,Datadog,NASDAQ100,STOCK
DXCM,NASD,DexCom,NASDAQ100,STOCK
FANG,NASD,Diamondback Energy,NASDAQ100,STOCK
DASH,NASD,DoorDash,NASDAQ100,STOCK
EA,NASD,Electronic Arts,NASDAQ100,STOCK
EXC,NASD,Exelon,NASDAQ100,STOCK
FAST,NASD,Fastenal,NASDAQ100,STOCK
FER,NASD,Ferrovial,NASDAQ100,STOCK
FTNT,NASD,Fortinet,NASDAQ100,STOCK
GEHC,NASD,GE HealthCare,NASDAQ100,STOCK
GILD,NASD,Gilead Sciences,NASDAQ100,STOCK
HON,NASD,Honeywell,NASDAQ100,STOCK
IDXX,NASD,Idexx Laboratories,NASDAQ100,STOCK
INSM,NASD,Insmed Incorporated,NASDAQ100,STOCK
INTC,NASD,Intel,NASDAQ100,STOCK
INTU,NASD,Intuit,NASDAQ100,STOCK
ISRG,NASD,Intuitive Surgical,NASDAQ100,STOCK
KDP,NASD,Keurig Dr Pepper,NASDAQ100,STOCK
KLAC,NASD,KLA Corporation,NASDAQ100,STOCK
KHC,NASD,Kraft Heinz,NASDAQ100,STOCK
LRCX,NASD,Lam Research,NASDAQ100,STOCK
LIN,NASD,Linde plc,NASDAQ100,STOCK
LITE,NASD,Lumentum,NASDAQ100,STOCK
MAR,NASD,Marriott International,NASDAQ100,STOCK
MRVL,NASD,Marvell Technology,NASDAQ100,STOCK
MELI,NASD,Mercado Libre,NASDAQ100,STOCK
META,NASD,Meta Platforms,NASDAQ100,STOCK
MCHP,NASD,Microchip Technology,NASDAQ100,STOCK
MU,NASD,Micron Technology,NASDAQ100,STOCK
MSFT,NASD,Microsoft,NASDAQ100,STOCK
MSTR,NASD,MicroStrategy,NASDAQ100,STOCK
MDLZ,NASD,Mondelez International,NASDAQ100,STOCK
MPWR,NASD,Monolithic Power Systems,NASDAQ100,STOCK
MNST,NASD,Monster Beverage,NASDAQ100,STOCK
NFLX,NASD,"Netflix, Inc.",NASDAQ100,STOCK
NVDA,NASD,Nvidia,NASDAQ100,STOCK
NXPI,NASD,NXP Semiconductors,NASDAQ100,STOCK
ORLY,NASD,O'Reilly Automotive,NASDAQ100,STOCK
ODFL,NASD,Old Dominion Freight Line,NASDAQ100,STOCK
PCAR,NASD,Paccar,NASDAQ100,STOCK
PLTR,NASD,Palantir Technologies,NASDAQ100,STOCK
PANW,NASD,Palo Alto Networks,NASDAQ100,STOCK
PAYX,NASD,Paychex,NASDAQ100,STOCK
PYPL,NASD,PayPal,NASDAQ100,STOCK
PDD,NASD,PDD Holdings,NASDAQ100,STOCK
PEP,NASD,PepsiCo,NASDAQ100,STOCK
QCOM,NASD,Qualcomm,NASDAQ100,STOCK
REGN,NASD,Regeneron Pharmaceuticals,NASDAQ100,STOCK
ROP,NASD,Roper Technologies,NASDAQ100,STOCK
ROST,NASD,Ross Stores,NASDAQ100,STOCK
SNDK,NASD,Sandisk,NASDAQ100,STOCK
STX,NASD,Seagate Technology,NASDAQ100,STOCK
SHOP,NASD,Shopify,NASDAQ100,STOCK
SBUX,NASD,Starbucks,NASDAQ100,STOCK
SNPS,NASD,Synopsys,NASDAQ100,STOCK
TMUS,NASD,T-Mobile US,NASDAQ100,STOCK
TTWO,NASD,Take-Two Interactive,NASDAQ100,STOCK
TSLA,NASD,"Tesla, Inc.",NASDAQ100,STOCK
TXN,NASD,Texas Instruments,NASDAQ100,STOCK
TRI,NASD,Thomson Reuters,NASDAQ100,STOCK
VRSK,NASD,Verisk Analytics,NASDAQ100,STOCK
VRTX,NASD,Vertex Pharmaceuticals,NASDAQ100,STOCK
WMT,NASD,Walmart,NASDAQ100,STOCK
WBD,NASD,Warner Bros. Discovery,NASDAQ100,STOCK
WDC,NASD,Western Digital,NASDAQ100,STOCK
WDAY,NASD,"Workday, Inc.",NASDAQ100,STOCK
XEL,NASD,Xcel Energy,NASDAQ100,STOCK
ZS,NASD,Zscaler,NASDAQ100,STOCK
